"ID of id","nodeName","signature","ID of typeid","ID of parentid","ID of sourceid"
11007,"DynamicConstantDesc<E>","DynamicConstantDesc<E>(java.lang.constant.DirectMethodHandleDesc,java.lang.String,java.lang.constant.ClassDesc,java.lang.constant.ConstantDesc[])",71,10946,11002
11039,"Error","Error(java.lang.String,java.lang.Throwable,boolean,boolean)",71,11036,11039
11044,"Error","Error(java.lang.Throwable)",71,11036,11044
11046,"Error","Error(java.lang.String,java.lang.Throwable)",71,11036,11046
11049,"Error","Error(java.lang.String)",71,11036,11049
11051,"Error","Error()",71,11036,11051
11055,"Exception","Exception(java.lang.String,java.lang.Throwable,boolean,boolean)",71,2791,11055
11060,"Exception","Exception(java.lang.Throwable)",71,2791,11060
11062,"Exception","Exception(java.lang.String,java.lang.Throwable)",71,2791,11062
11065,"Exception","Exception(java.lang.String)",71,2791,11065
11067,"Exception","Exception()",71,2791,11067
11079,"IllegalAccessException","IllegalAccessException(java.lang.String)",71,9759,11079
11081,"IllegalAccessException","IllegalAccessException()",71,9759,11081
11086,"IllegalArgumentException","IllegalArgumentException(java.lang.Throwable)",71,11082,11086
11088,"IllegalArgumentException","IllegalArgumentException(java.lang.String,java.lang.Throwable)",71,11082,11088
11091,"IllegalArgumentException","IllegalArgumentException(java.lang.String)",71,11082,11091
11093,"IllegalArgumentException","IllegalArgumentException()",71,11082,11093
11097,"IllegalStateException","IllegalStateException(java.lang.Throwable)",71,11094,11097
11099,"IllegalStateException","IllegalStateException(java.lang.String,java.lang.Throwable)",71,11094,11099
11102,"IllegalStateException","IllegalStateException(java.lang.String)",71,11094,11102
11104,"IllegalStateException","IllegalStateException()",71,11094,11104
11108,"InstantiationException","InstantiationException(java.lang.String)",71,8347,11108
11110,"InstantiationException","InstantiationException()",71,8347,11110
11207,"Integer","Integer(java.lang.String)",71,374,11207
11213,"Integer","Integer(int)",71,374,11213
11290,"InternalError","InternalError(java.lang.Throwable)",71,11286,11290
11292,"InternalError","InternalError(java.lang.String,java.lang.Throwable)",71,11286,11292
11295,"InternalError","InternalError(java.lang.String)",71,11286,11295
11297,"InternalError","InternalError()",71,11286,11297
11300,"InterruptedException","InterruptedException(java.lang.String)",71,2875,11300
11302,"InterruptedException","InterruptedException()",71,2875,11302
11305,"LinkageError","LinkageError(java.lang.String,java.lang.Throwable)",71,9785,11305
11308,"LinkageError","LinkageError(java.lang.String)",71,9785,11308
11310,"LinkageError","LinkageError()",71,9785,11310
11404,"Long","Long(java.lang.String)",71,11311,11404
11410,"Long","Long(long)",71,11311,11410
11585,"Module","Module(java.lang.ClassLoader,java.lang.module.ModuleDescriptor)",71,9730,11585
11588,"Module","Module(java.lang.ClassLoader)",71,9730,11588
11590,"Module","Module(java.lang.ModuleLayer,java.lang.ClassLoader,java.lang.module.ModuleDescriptor,java.net.URI)",71,9730,11590
11610,"Controller","Controller(java.lang.ModuleLayer)",71,11595,11610
