"ID of id","ID of typeid","ID of parentid"
19686,19665,19684
19689,19665,19687
19692,19665,19690
19695,19665,19693
19734,7920,19733
19814,7625,19813
19824,19823,19822
19834,19823,19830
19840,19823,19835
19847,19823,19841
19856,19823,19848
19859,19823,19857
19891,7412,19889
19893,7412,19892
19895,7412,19894
19898,7412,19896
19900,7412,19899
19902,19823,19901
19932,7625,19930
19937,7625,19933
19941,7625,19938
19944,7625,19942
19951,7625,19945
19956,7625,19952
19962,7625,19957
19981,7412,19979
20035,7412,20034
20037,7412,20036
20039,7412,20038
20042,7412,20040
20044,7412,20043
20078,7412,20077
20135,7412,20132
20138,7412,20136
20165,19550,20163
20169,19550,20166
20548,7412,20546
21207,7412,21206
21252,7412,21251
21257,7412,21253
21283,7412,21281
21286,7412,21284
21288,7412,21287
21296,7412,21293
21321,7412,21316
21331,7412,21330
21361,7412,21360
21366,7412,21362
21368,7412,21367
21373,7412,21369
21382,7412,21374
21387,7412,21383
21391,7412,21388
21395,7412,21392
21400,7412,21396
21405,7412,21401
21408,7412,21406
21411,7412,21409
21413,7412,21412
21416,7412,21414
21418,7412,21417
21424,7412,21422
21429,7412,21425
21432,7412,21430
21435,7412,21433
21440,7412,21436
21443,7412,21441
21447,7412,21444
21452,7412,21448
21458,7412,21457
21460,7412,21459
21484,7412,21482
21489,7412,21485
21494,7412,21493
21499,7412,21497
21504,7412,21502
21509,7412,21505
21514,7412,21512
21516,7412,21515
21519,7412,21517
21521,7412,21520
21524,7412,21522
21527,7412,21525
21532,7412,21530
21541,21208,21539
21545,7412,21544
21547,7412,21546
21611,12455,21609
21658,12455,21656
21705,12455,21704
21745,7920,21744
21778,7412,21776
21797,7412,21795
21813,7412,21812
21815,7412,21814
21817,7412,21816
21819,7412,21818
21829,7412,21828
21847,7412,21846
21869,7920,21868
21927,7412,21924
21936,7412,21932
21940,7412,21938
22012,2875,22011
22017,2875,22014
22020,7412,22019
22026,7412,22023
22031,7412,22027
22090,7412,22088
22093,7412,22091
22105,7412,22100
22111,7412,22106
22119,7412,22112
22130,7412,22127
22133,7412,22131
22136,7412,22134
22140,7412,22137
22148,7412,22144
22153,7412,22149
22156,7412,22154
22159,7412,22157
22162,7412,22160
22166,7412,22163
22171,7412,22167
22175,7412,22172
22183,7412,22179
22188,7412,22184
22194,7412,22189
22199,7412,22195
22203,7412,22200
22207,7412,22204
22212,7412,22209
22220,7412,22217
22242,22241,22239
22373,8084,22371
22436,8084,22434
22484,2791,22483
22524,22406,22522
22626,7412,22624
22685,7801,22684
22695,22694,22692
22697,22694,22696
22709,7801,22708
22716,22715,22712
22717,22406,22712
22718,22374,22712
22719,22657,22712
22723,22715,22720
22724,22406,22720
22725,22374,22720
22726,22417,22720
22727,22657,22720
22730,22715,22728
22731,22406,22728
22732,22374,22728
22733,22417,22728
22734,22657,22728
22736,22694,22735
22771,7816,22770
22891,22890,22888
22982,7920,22981
23056,7412,23054
23059,7412,23057
23177,7412,23175
23180,7412,23178
23290,7412,23288
23293,7412,23291
23583,7412,23581
23586,7412,23584
23777,7412,23775
23780,7412,23778
23934,7920,23933
24006,7412,24004
24007,7851,24004
24010,7412,24008
24181,7412,24179
24182,7851,24179
24185,7412,24183
24308,7412,24306
24311,7412,24309
24382,7412,24380
24422,7412,24420
24425,7412,24423
24428,7412,24426
24601,7412,24599
24602,7851,24599
24605,7412,24603
24767,7412,24765
24770,7412,24768
25133,7920,25132
25551,7920,25550
25613,7920,25612
25650,7920,25649
25693,7920,25692
25738,7920,25737
25826,7920,25825
26037,7412,26035
26040,7412,26038
26071,7920,26070
26116,7412,26114
26119,7412,26117
26179,7412,26177
26180,7851,26177
26183,7412,26181
28949,11082,28944
29362,7412,29360
29363,7851,29360
29368,7412,29364
29371,7412,29369
29468,11082,29463
29571,7920,29570
29613,7920,29612
29653,7920,29652
29748,29747,29746
29750,29747,29749
29876,11082,29871
30358,30351,30350
30448,30441,30440
30484,30477,30476
30520,30513,30512
30692,7412,30690
30693,7851,30690
30698,7412,30694
30701,7412,30699
30778,7412,30776
30779,7851,30776
30782,7412,30780
30865,7412,30861
30870,7412,30866
30874,7412,30871
30877,7412,30875
30878,29470,30875
30882,7412,30879
30886,7412,30883
30895,7412,30893
30898,7412,30896
31059,9759,31053
31060,8347,31053
31061,7412,31053
31488,7920,31487
31593,7920,31592
31624,2791,31623
31974,7920,31973
32634,2875,32623
32635,32604,32623
32637,32636,32623
32647,2875,32638
32648,32604,32638
32664,2875,32649
32678,2875,32665
32698,2875,32695
32724,7920,32723
32752,2875,32749
32753,32604,32749
32754,32636,32749
32756,2875,32755
32757,32604,32755
32783,7920,32782
32799,2875,32797
32803,2875,32800
32807,2875,32804
33418,7920,33417
34221,22470,34211
34243,22470,34234
34259,31625,34253
34506,7920,34505
34579,7920,34578
34620,9593,34618
37348,8347,37345
37650,2875,37648
37721,7920,37720
37777,7920,37776
37852,8347,37850
37853,11082,37850
37854,8349,37850
37861,11082,37858
37862,9759,37858
37866,11082,37863
37867,9759,37863
37871,11082,37868
37872,9759,37868
37876,11082,37873
37877,9759,37873
37881,11082,37878
37882,9759,37878
37886,11082,37883
37887,9759,37883
37891,11082,37888
37892,9759,37888
37896,11082,37893
37897,9759,37893
37901,11082,37898
37902,9759,37898
37905,11082,37903
37908,11082,37906
37911,11082,37909
37914,11082,37912
37917,11082,37915
37920,11082,37918
37923,11082,37921
37926,11082,37924
37929,11082,37927
37940,11082,37936
37941,8349,37936
37945,11082,37942
37946,8349,37942
37954,11082,37950
37955,8349,37950
37959,11082,37956
37960,8349,37956
37997,9759,37991
37998,8347,37991
37999,8349,37991
38155,7920,38154
38193,7920,38192
38290,2791,38285
39399,7920,39398
40115,40114,40111
40121,40114,40119
40125,40114,40122
40129,40114,40126
40132,40114,40130
40135,40114,40133
40138,40114,40136
40141,40114,40139
40144,40114,40142
40147,40114,40145
