"ID of id","ID of typeid","pos","ID of parentid"
27831,27824,0,27830
27836,27839,0,27835
27838,27835,0,27837
27851,27854,0,27850
27853,27850,0,27852
27986,27983,0,27985
28286,28280,0,28285
28297,28292,0,28296
28306,28301,0,28305
28308,28302,0,28307
28317,28311,0,28316
28343,28337,0,28342
28353,28348,0,28352
28377,28374,0,28376
28382,28374,0,28381
28387,79,0,28386
28388,28391,1,28386
28390,28386,0,28389
28394,28386,0,28393
28401,28398,0,28400
28406,28398,0,28405
28411,79,0,28410
28412,28415,1,28410
28414,28410,0,28413
28418,28410,0,28417
28425,28422,0,28424
28431,28422,0,28430
28439,28436,0,28438
28459,28456,0,28458
28466,28456,0,28465
28473,28470,0,28472
28476,28474,0,28475
28489,28482,0,28488
28494,28497,0,28493
28496,28493,0,28495
28515,28510,0,28514
28529,28524,0,28528
28543,28538,0,28542
28549,28552,0,28548
28551,28548,0,28550
28557,28547,0,28556
28559,28548,0,28558
28569,28563,0,28568
28571,28564,0,28570
28576,28564,0,28575
28585,28580,0,28584
28594,28589,0,28593
28599,28602,0,28598
28601,28598,0,28600
28607,28610,0,28606
28609,28606,0,28608
28614,28502,0,28613
28629,28632,0,28628
28631,28628,0,28630
28635,28628,0,28634
28642,28639,0,28641
28647,28639,0,28646
28811,28804,0,28810
28836,28804,0,28835
28960,28951,0,28959
28985,28951,0,28984
29060,29061,0,28951
29075,29076,0,29074
29094,29095,0,29093
29114,29115,0,29113
29130,29131,0,29129
29145,29146,0,29144
29159,29160,0,29158
29172,29173,0,29171
29184,29185,0,29183
29196,29197,0,29195
29208,29209,0,29207
29221,29222,0,29220
29234,29235,0,29233
29280,29262,0,29279
29282,29262,0,29281
29290,29261,0,29289
29343,29261,0,29342
29479,29477,0,29478
29534,29531,0,29533
29886,29881,0,29885
29888,29882,0,29887
29898,29892,0,29897
29909,29902,0,29908
29915,29918,0,29914
29917,29914,0,29916
29924,29927,0,29923
29926,29923,0,29925
29958,29954,0,29957
29960,29954,0,29959
29968,29953,0,29967
30021,29953,0,30020
30075,30039,0,30074
30132,30124,0,30131
30157,30124,0,30156
30227,30204,0,30226
30299,30295,0,30298
30325,30320,0,30324
30352,2889,0,30351
30355,30351,0,30354
30361,30343,0,30360
30374,30371,0,30373
30385,30343,0,30384
30387,30380,0,30386
30391,30388,0,30390
30400,30395,0,30399
30442,2889,0,30441
30445,30441,0,30444
30478,2889,0,30477
30481,30477,0,30480
30514,2889,0,30513
30517,30513,0,30516
30548,10847,0,30547
30590,11311,0,30589
30609,30606,0,30608
30913,28858,0,30912
30938,28858,0,30937
31147,26645,0,31146
31191,30040,0,31190
31193,30040,0,31192
31243,30039,0,31242
31288,30204,0,31287
31344,31342,0,31343
31465,31461,0,31464
31480,31337,0,31391
31645,31639,0,31644
31670,31639,0,31669
31734,31726,0,31733
31759,31726,0,31758
31893,31889,0,31892
31895,31889,0,31894
31903,31888,0,31902
31956,31888,0,31955
32003,32001,0,32002
32005,32001,0,32004
32017,32000,0,32016
32109,32105,0,32108
32114,32105,0,32113
32118,31943,0,32117
32129,32125,0,32128
32139,32135,0,32138
32144,32135,0,32143
32148,31943,0,32147
32180,32176,0,32179
32185,32176,0,32184
32196,32192,0,32195
32204,32200,0,32203
32209,32200,0,32208
32243,32239,0,32242
32248,32239,0,32247
32261,32257,0,32260
