"ID of id","nodeName","ID of typeid","ID of parentid","ID of sourceid"
29842,"JAPAN",5223,5223,29842
29843,"ITALY",5223,5223,29843
29844,"GERMANY",5223,5223,29844
29845,"FRANCE",5223,5223,29845
29846,"TRADITIONAL_CHINESE",5223,5223,29846
29847,"SIMPLIFIED_CHINESE",5223,5223,29847
29848,"CHINESE",5223,5223,29848
29849,"KOREAN",5223,5223,29849
29850,"JAPANESE",5223,5223,29850
29851,"ITALIAN",5223,5223,29851
29852,"GERMAN",5223,5223,29852
29853,"FRENCH",5223,5223,29853
29854,"ENGLISH",5223,5223,29854
30907,"defaults",12904,12904,30907
31030,"serialVersionUID",2854,6798,31030
31075,"TTL_NO_EXPIRATION_CONTROL",2854,31033,31075
31076,"TTL_DONT_CACHE",2854,31033,31076
31077,"FORMAT_PROPERTIES",1909,31033,31077
31078,"FORMAT_CLASS",1909,31033,31078
31079,"FORMAT_DEFAULT",1909,31033,31079
31142,"parent",12829,12829,31142
31372,"SUBSIZED",87,970,31372
31373,"CONCURRENT",87,970,31373
31374,"IMMUTABLE",87,970,31374
31375,"NONNULL",87,970,31375
31376,"SIZED",87,970,31376
31377,"SORTED",87,970,31377
31378,"DISTINCT",87,970,31378
31379,"ORDERED",87,970,31379
31528,"next",10558,10558,31528
31529,"hash",87,10558,31529
31530,"value",31505,10558,31530
31703,"length",87,31702,31703
31722,"map",31716,31636,31722
31884,"next",31850,31850,31884
31885,"val",31854,31850,31885
31886,"key",31853,31850,31886
31887,"hash",87,31850,31887
32359,"length",87,32358,32359
32363,"length",87,32362,32363
32366,"length",87,32365,32366
32492,"length",87,32491,32492
32503,"length",87,32502,32503
32515,"length",87,32514,32515
32526,"table",32362,9794,32526
32527,"NCPU",87,9794,32527
32528,"HASH_BITS",87,9794,32528
32529,"RESERVED",87,9794,32529
32530,"TREEBIN",87,9794,32530
32531,"MOVED",87,9794,32531
32532,"MIN_TREEIFY_CAPACITY",87,9794,32532
32533,"UNTREEIFY_THRESHOLD",87,9794,32533
32534,"TREEIFY_THRESHOLD",87,9794,32534
32535,"MAX_ARRAY_SIZE",87,9794,32535
32738,"length",87,32737,32738
32741,"CANCELLED",32706,32706,32741
32742,"FAILED",32706,32706,32742
32743,"SUCCESS",32706,32706,32743
32744,"RUNNING",32706,32706,32744
32830,"length",87,32829,32830
32833,"DAYS",22013,22013,32833
32834,"HOURS",22013,22013,32834
32835,"MINUTES",22013,22013,32835
32836,"SECONDS",22013,22013,32836
32837,"MILLISECONDS",22013,22013,32837
32838,"MICROSECONDS",22013,22013,32838
32839,"NANOSECONDS",22013,22013,32839
33433,"length",87,33432,33433
33436,"IDENTITY_FINISH",33400,33400,33436
33437,"UNORDERED",33400,33400,33437
33438,"CONCURRENT",33400,33400,33438
33979,"length",87,33978,33979
34065,"length",87,34064,34065
34280,"privCredentials",22616,22456,34280
34281,"pubCredentials",22616,22456,34281
34282,"principals",34206,22456,34282
34465,"session",14332,34358,34465
34466,"readOnly",88,34358,34466
34467,"length",2854,34358,34467
34468,"nioAccess",34291,34358,34468
34469,"NONCE",2854,34358,34469
34479,"CLOSED_LIST",34470,34470,34479
34480,"next",34470,34470,34480
34490,"fst",34470,34473,34490
34542,"WRONG_THREAD",34543,20176,34542
34544,"ALREADY_CLOSED",34543,20176,34544
34545,"GLOBAL",20176,20176,34545
34546,"MAX_FORKS",87,20176,34546
34547,"STATE",14127,20176,34547
34548,"state",87,20176,34548
34549,"CLOSED",87,20176,34549
34550,"CLOSING",87,20176,34550
34551,"OPEN",87,20176,34551
34552,"owner",2797,20176,34552
34553,"cleanable",7685,20176,34553
34554,"resourceList",34473,20176,34554
34593,"length",87,34592,34593
34596,"TEST",12954,12954,34596
34597,"RECORD_PATTERNS",12954,12954,34597
34598,"SWITCH_PATTERN_MATCHING",12954,12954,34598
34645,"serialVersionUID",2854,34543,34645
37576,"ADDRESS_SIZE",87,20236,37576
37577,"ARRAY_OBJECT_INDEX_SCALE",87,20236,37577
37578,"ARRAY_DOUBLE_INDEX_SCALE",87,20236,37578
37579,"ARRAY_FLOAT_INDEX_SCALE",87,20236,37579
37580,"ARRAY_LONG_INDEX_SCALE",87,20236,37580
37581,"ARRAY_INT_INDEX_SCALE",87,20236,37581
37582,"ARRAY_CHAR_INDEX_SCALE",87,20236,37582
37583,"ARRAY_SHORT_INDEX_SCALE",87,20236,37583
37584,"ARRAY_BYTE_INDEX_SCALE",87,20236,37584
37585,"ARRAY_BOOLEAN_INDEX_SCALE",87,20236,37585
37586,"ARRAY_OBJECT_BASE_OFFSET",87,20236,37586
37587,"ARRAY_DOUBLE_BASE_OFFSET",87,20236,37587
37588,"ARRAY_FLOAT_BASE_OFFSET",87,20236,37588
37589,"ARRAY_LONG_BASE_OFFSET",87,20236,37589
37590,"ARRAY_INT_BASE_OFFSET",87,20236,37590
37591,"ARRAY_CHAR_BASE_OFFSET",87,20236,37591
37592,"ARRAY_SHORT_BASE_OFFSET",87,20236,37592
37593,"ARRAY_BYTE_BASE_OFFSET",87,20236,37593
37594,"ARRAY_BOOLEAN_BASE_OFFSET",87,20236,37594
37595,"INVALID_FIELD_OFFSET",87,20236,37595
37704,"queue",18326,18254,37704
37708,"phantomCleanableList",37705,18254,37708
37748,"next",37705,7669,37748
37749,"prev",37705,7669,37749
37791,"length",87,37790,37791
37794,"INVALID",37759,37759,37794
37795,"INVOKEDYNAMIC",37759,37759,37795
37796,"METHODTYPE",37759,37759,37796
37797,"METHODHANDLE",37759,37759,37797
37798,"NAMEANDTYPE",37759,37759,37798
37799,"INTERFACEMETHODREF",37759,37759,37799
37800,"METHODREF",37759,37759,37800
37801,"FIELDREF",37759,37759,37801
37802,"STRING",37759,37759,37802
37803,"CLASS",37759,37759,37803
37804,"DOUBLE",37759,37759,37804
37805,"LONG",37759,37759,37805
37806,"FLOAT",37759,37759,37806
37807,"INTEGER",37759,37759,37807
37808,"UTF8",37759,37759,37808
38127,"SILVER_RATIO_64",2854,38044,38127
38128,"SILVER_RATIO_32",87,38044,38128
38129,"GOLDEN_RATIO_64",2854,38044,38129
38130,"GOLDEN_RATIO_32",87,38044,38130
38131,"BAD_RANGE",157,38044,38131
38132,"BAD_FLOATING_BOUND",157,38044,38132
38133,"BAD_BOUND",157,38044,38133
38134,"BAD_DISTANCE",157,38044,38134
38135,"BAD_SIZE",157,38044,38135
38169,"length",87,38168,38169
38172,"CRITICAL_SECTION",38136,38136,38172
38173,"MONITOR",38136,38136,38173
38174,"NATIVE",38136,38136,38174
38208,"length",87,38207,38208
38211,"pinned",38136,38175,38211
38212,"TRANSIENT_FAIL_PINNED_MONITOR",38175,38175,38212
38213,"TRANSIENT_FAIL_PINNED_NATIVE",38175,38175,38213
38214,"TRANSIENT_FAIL_PINNED_CRITICAL_SECTION",38175,38175,38214
38215,"PERM_FAIL_NOT_MOUNTED",38175,38175,38215
38216,"PERM_FAIL_YIELDING",38175,38175,38216
38217,"PERM_FAIL_UNSUPPORTED",38175,38175,38217
38218,"SUCCESS",38175,38175,38218
38268,"name",157,12101,38268
39260,"T_LONG",87,35707,39260
39261,"T_INT",87,35707,39261
39262,"T_SHORT",87,35707,39262
39263,"T_BYTE",87,35707,39263
39264,"T_DOUBLE",87,35707,39264
39265,"T_FLOAT",87,35707,39265
39266,"MODE_BITS_COERCED_LONG_TO_MASK",87,35707,39266
39267,"MODE_BROADCAST",87,35707,39267
39268,"BT_ugt",87,35707,39268
39269,"BT_ult",87,35707,39269
39270,"BT_uge",87,35707,39270
39271,"BT_ule",87,35707,39271
39272,"BT_unsigned_compare",87,35707,39272
39273,"BT_no_overflow",87,35707,39273
39274,"BT_overflow",87,35707,39274
39275,"BT_gt",87,35707,39275
39276,"BT_lt",87,35707,39276
39277,"BT_ge",87,35707,39277
39278,"BT_le",87,35707,39278
39279,"BT_ne",87,35707,39279
39280,"BT_eq",87,35707,39280
39281,"VECTOR_OP_HYPOT",87,35707,39281
39282,"VECTOR_OP_EXPM1",87,35707,39282
39283,"VECTOR_OP_EXP",87,35707,39283
39284,"VECTOR_OP_POW",87,35707,39284
39285,"VECTOR_OP_LOG1P",87,35707,39285
39286,"VECTOR_OP_LOG10",87,35707,39286
39287,"VECTOR_OP_LOG",87,35707,39287
39288,"VECTOR_OP_CBRT",87,35707,39288
39289,"VECTOR_OP_ATAN2",87,35707,39289
39290,"VECTOR_OP_ATAN",87,35707,39290
39291,"VECTOR_OP_ACOS",87,35707,39291
39292,"VECTOR_OP_ASIN",87,35707,39292
39293,"VECTOR_OP_COSH",87,35707,39293
39294,"VECTOR_OP_COS",87,35707,39294
39295,"VECTOR_OP_SINH",87,35707,39295
39296,"VECTOR_OP_SIN",87,35707,39296
39297,"VECTOR_OP_TANH",87,35707,39297
39298,"VECTOR_OP_TAN",87,35707,39298
39299,"VECTOR_OP_EXPAND_BITS",87,35707,39299
39300,"VECTOR_OP_COMPRESS_BITS",87,35707,39300
39301,"VECTOR_OP_REVERSE_BYTES",87,35707,39301
39302,"VECTOR_OP_REVERSE",87,35707,39302
39303,"VECTOR_OP_LZ_COUNT",87,35707,39303
39304,"VECTOR_OP_TZ_COUNT",87,35707,39304
39305,"VECTOR_OP_MASK_COMPRESS",87,35707,39305
39306,"VECTOR_OP_EXPAND",87,35707,39306
39307,"VECTOR_OP_COMPRESS",87,35707,39307
39308,"VECTOR_OP_RROTATE",87,35707,39308
39309,"VECTOR_OP_LROTATE",87,35707,39309
39310,"VECTOR_OP_MASK_TOLONG",87,35707,39310
39311,"VECTOR_OP_MASK_LASTTRUE",87,35707,39311
39312,"VECTOR_OP_MASK_FIRSTTRUE",87,35707,39312
39313,"VECTOR_OP_MASK_TRUECOUNT",87,35707,39313
39314,"VECTOR_OP_REINTERPRET",87,35707,39314
39315,"VECTOR_OP_UCAST",87,35707,39315
39316,"VECTOR_OP_CAST",87,35707,39316
39317,"VECTOR_OP_URSHIFT",87,35707,39317
39318,"VECTOR_OP_RSHIFT",87,35707,39318
39319,"VECTOR_OP_LSHIFT",87,35707,39319
39320,"VECTOR_OP_FMA",87,35707,39320
39321,"VECTOR_OP_XOR",87,35707,39321
39322,"VECTOR_OP_OR",87,35707,39322
39323,"VECTOR_OP_AND",87,35707,39323
39324,"VECTOR_OP_MAX",87,35707,39324
39325,"VECTOR_OP_MIN",87,35707,39325
39326,"VECTOR_OP_DIV",87,35707,39326
39327,"VECTOR_OP_MUL",87,35707,39327
39328,"VECTOR_OP_SUB",87,35707,39328
39329,"VECTOR_OP_ADD",87,35707,39329
39330,"VECTOR_OP_BIT_COUNT",87,35707,39330
39331,"VECTOR_OP_SQRT",87,35707,39331
39332,"VECTOR_OP_NEG",87,35707,39332
39333,"VECTOR_OP_ABS",87,35707,39333
39502,"length",87,39501,39502
